alpha_3_code,mean_grp,n,n_studies,mean_mic_ori,sd_mic_ori,mean_lo_ori,mean_hi_ori,change_mean_ori,change_se_ori,ci_change_lo_ori,ci_change_hi_ori,mean_year,entity,who_region
ARG,1,691,2,0.02694356005788712,0.00761470724572222,0.02637480569312482,0.027512314422649422,NA,NA,NA,NA,1998,Argentina,Americas
ARG,2,43,2,0.007767441860465117,4.2746257437545847e-4,0.007635888297776001,0.007898995423154231,-0.019176118197422005,2.9692125645506347e-4,-0.019759036997004566,-0.018593199397839443,1998,Argentina,Americas
AUS,1,1,1,0.016,NA,NA,NA,NA,NA,NA,NA,1999,Australia,Western Pacific
AUS,2,78,2,0.012756410256410257,0.0032878599894191523,0.012015112370921352,0.013497708141899161,-0.0032435897435897434,NA,NA,NA,1999,Australia,Western Pacific
AUT,1,313,3,0.02776357827476038,0.005137377109495421,0.027192224214072518,0.028334932335448246,NA,NA,NA,NA,1999,Austria,Europe
AUT,2,771,4,0.02928664072632944,0.003899326015601876,0.02901096810482608,0.0295623133478328,0.0015230624515690586,3.2255596950878925e-4,8.901563901737697e-4,0.0021559685129643475,1999,Austria,Europe
BEL,1,69,2,0.013072463768115942,0.003149784495801494,0.012315802914585576,0.013829124621646307,NA,NA,NA,NA,2000,Belgium,Europe
BEL,2,16,1,0.01,0,0.01,0.01,-0.0030724637681159416,3.791894935633923e-4,-0.0038266564198785177,-0.0023182711163533655,2000,Belgium,Europe
BRA,1,211,1,0.01,0,0.01,0.01,NA,NA,NA,NA,1998,Brazil,Americas
BRA,2,1387,3,0.02526315789473684,0.009570085794435591,0.02475907134225994,0.025767244447213743,0.015263157894736841,2.569671457527064e-4,0.014759129306716816,0.015767186482756868,1998,Brazil,Americas
CAN,1,1009,2,0.02295203171456888,6.293092198842184e-4,0.02291315510457458,0.022990908324563183,NA,NA,NA,NA,1998,Canada,Americas
CAN,2,262,3,0.009454961832061069,0.00286268672507034,0.00910671290506979,0.009803210759052348,-0.013497069882507812,1.7796356155471685e-4,-0.013846205051307884,-0.01314793471370774,1998,Canada,Americas
CHE,1,114,1,0.008,0,0.008,0.008,NA,NA,NA,NA,2001,Switzerland,Europe
CHE,2,7,1,0.015,0,0.015,0.015,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,2001,Switzerland,Europe
CHN,1,259,3,0.1165057915057915,0.02942028655370471,0.11290591875716208,0.12010566425442093,NA,NA,NA,NA,2010,China,Western Pacific
CHN,2,342,1,0.008,0,0.008,0.008,-0.10850579150579151,0.0018280876571563748,-0.11209603180957974,-0.10491555120200328,2010,China,Western Pacific
DEU,1,1,1,0.016,NA,NA,NA,NA,NA,NA,NA,1999,Germany,Europe
DEU,2,835,5,0.02397125748502994,0.008379439134894204,0.023402076310664193,0.024540438659395685,0.007971257485029939,NA,NA,NA,1999,Germany,Europe
ESP,1,1344,9,0.024089285714285712,0.021328604533430547,0.022947978737203095,0.02523059269136833,NA,NA,NA,NA,2001,Spain,Europe
ESP,2,4105,3,0.026704019488428744,0.005216309884442861,0.026544401072834917,0.02686363790402257,0.002614733774143032,5.874544317402431e-4,0.0014630883419952884,0.0037663792062907755,2001,Spain,Europe
FIN,1,178,3,0.027702247191011234,0.005459257984970209,0.026894730832181118,0.02850976354984135,NA,NA,NA,NA,2005,Finland,Europe
FIN,2,10,1,0.01646,0.0034843140565173564,0.013967471877099647,0.01895252812290035,-0.011242247191011235,0.0011753636990491662,-0.013561004830481532,-0.008923489551540938,2005,Finland,Europe
FRA,1,684,5,0.015292397660818713,0.0016579903108634025,0.015167925475727836,0.01541686984590959,NA,NA,NA,NA,2002,France,Europe
FRA,2,120,2,0.013891666666666667,0.0025660872786342683,0.013427826987820368,0.014355506345512966,-0.0014007309941520465,2.426773006630461e-4,-0.0018770886553418856,-9.243733329622073e-4,2002,France,Europe
GBR,1,166,4,0.012096385542168674,0.003793501485854941,0.011515043952790845,0.012677727131546503,NA,NA,NA,NA,2001,United Kingdom,Europe
GBR,2,227,2,0.015004405286343612,6.637233115999726e-5,0.014995724598049855,0.01501308597463737,0.0029080197441749382,2.944657712237018e-4,0.0023290854091031167,0.0034869540792467598,2001,United Kingdom,Europe
GRC,1,49,1,0.004,0,0.004,0.004,NA,NA,NA,NA,1998,Greece,Europe
GRC,2,329,2,0.009170212765957447,0.0026158919135493954,0.008886502270976718,0.009453923260938177,0.005170212765957447,1.4421878962454703e-4,0.0048866363363984505,0.005453789195516444,1998,Greece,Europe
HKG,1,25,1,0.008,0,0.008,0.008,NA,NA,NA,NA,2001,Hong Kong,Unclassifed
HKG,2,26,1,0.015,0,0.015,0.015,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,2001,Hong Kong,Unclassifed
HUN,1,219,2,0.027187214611872144,0.007363225074003083,0.026206569558028497,0.02816785966571579,NA,NA,NA,NA,2001,Hungary,Europe
HUN,2,315,1,0.015,0,0.015,0.015,-0.012187214611872145,4.975606408072204e-4,-0.013164639219171383,-0.011209790004572907,2001,Hungary,Europe
IND,1,78,1,0.03,0,0.03,0.03,NA,NA,NA,NA,2014,India,South-East Asia
IND,2,206,1,0.016,0,0.016,0.016,-0.013999999999999999,0,-0.013999999999999999,-0.013999999999999999,2014,India,South-East Asia
ISL,1,10,1,0.0179,0.005506561742341787,0.013960843029461947,0.02183915697053805,NA,NA,NA,NA,2004,Iceland,Europe
ISL,2,6,2,0.014,0.0021908902300206644,0.011700801709516404,0.016299198290483596,-0.003899999999999999,0.0019576062480034695,-0.008098647820902558,2.986478209025612e-4,2004,Iceland,Europe
ITA,1,1528,6,0.029537958115183244,0.01340429215166948,0.02886533053540028,0.030210585694966208,NA,NA,NA,NA,2000,Italy,Europe
ITA,2,823,4,0.041810449574726606,0.021784792071826663,0.04031991679981679,0.04330098234963642,0.012272491459543362,8.332054691605101e-4,0.010638596861971541,0.013906386057115182,2000,Italy,Europe
JPN,1,3469,5,0.01598299221677717,0.011117692402397286,0.015612898089577724,0.016353086343976617,NA,NA,NA,NA,1997,Japan,Western Pacific
JPN,2,2515,9,0.01218131212723658,0.0039925010091254815,0.012025201211777215,0.012337423042695946,-0.00380168008954059,2.0486276228281087e-4,-0.004203284983615062,-0.0034000751954661184,1997,Japan,Western Pacific
MEX,1,146,2,0.010253424657534246,0.003281739748524094,0.009716620781904085,0.010790228533164407,NA,NA,NA,NA,2000,Mexico,Americas
MEX,2,197,1,0.032,0,0.032,0.032,0.021746575342465754,2.715987140738994e-4,0.02121235557468656,0.022280795110244948,2000,Mexico,Americas
NLD,1,62,2,0.013532258064516129,0.00287281059577484,0.012802700777496566,0.014261815351535692,NA,NA,NA,NA,2001,Netherlands,Europe
NLD,2,142,1,0.015,0,0.015,0.015,0.0014677419354838708,3.648473105108976e-4,7.483442597608141e-4,0.0021871396112069274,2001,Netherlands,Europe
NOR,1,98,1,0.015,0,0.015,0.015,NA,NA,NA,NA,2003,Norway,Europe
NOR,2,1,1,0.016,NA,NA,NA,0.0010000000000000009,NA,NA,NA,2003,Norway,Europe
