alpha_3_code,mean_grp,mean_mic,sd_mic,n,n_studies,mean_hi,mean_lo,change,se_change,ci_lo_change,ci_hi_change,percent_change,grpid,facet_grp,country_n,prop,global_n,entity,year,who_region
ARG,1,0.02694356005788712,0.00761470724572222,691,2,0.02637480569312482,0.027512314422649422,NA,NA,NA,NA,NA,1,1,734,0.94141689373297,NA,Argentina,2020,Americas
ARG,2,0.007767441860465117,4.2746257437545847e-4,43,2,0.007635888297776001,0.007898995423154231,-0.019176118197422005,2.9692125645506347e-4,-0.019759035679956165,-0.018593200714887844,-71,1,1,734,0.05858310626702997,NA,Argentina,2020,Americas
AUS,1,0.016,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,79,0.012658227848101266,NA,Australia,2020,Western Pacific
AUS,2,0.012756410256410257,0.0032878599894191523,78,1,0.012015112370921352,0.013497708141899161,-0.0032435897435897434,NA,NA,NA,-20,2,1,79,0.9873417721518988,NA,Australia,2020,Western Pacific
AUT,1,0.02776357827476038,0.005137377109495421,313,4,0.027192224214072518,0.028334932335448246,NA,NA,NA,NA,NA,3,1,1084,0.2887453874538745,NA,Austria,2020,Europe
AUT,2,0.02928664072632944,0.003899326015601876,771,3,0.02901096810482608,0.0295623133478328,0.0015230624515690586,3.2255596950878925e-4,8.901570446118055e-4,0.0021559678585263116,5,3,1,1084,0.7112546125461254,NA,Austria,2020,Europe
BEL,1,0.013072463768115942,0.003149784495801494,69,1,0.012315802914585576,0.013829124621646307,NA,NA,NA,NA,NA,4,1,85,0.8117647058823529,NA,Belgium,2020,Europe
BEL,2,0.01,0,16,1,0.01,0.01,-0.0030724637681159416,3.791894935633923e-4,-0.0038265236606317265,-0.0023184038756001567,-24,4,1,85,0.18823529411764706,NA,Belgium,2020,Europe
BRA,1,0.01,0,211,1,0.01,0.01,NA,NA,NA,NA,NA,5,1,2710,0.07785977859778598,NA,Brazil,2020,Americas
BRA,2,0.027418967587034812,0.007421118161730488,2499,4,0.027127865855263385,0.02771006931880624,0.01741896758703481,1.4845205661556795e-4,0.01712787684606064,0.017710058328008982,174,5,1,2710,0.9221402214022141,NA,Brazil,2020,Americas
CAN,1,0.02295203171456888,6.293092198842184e-4,1009,3,0.02291315510457458,0.022990908324563183,NA,NA,NA,NA,NA,6,1,1271,0.7938630999213218,NA,Canada,2020,Americas
CAN,2,0.009454961832061069,0.00286268672507034,262,2,0.00910671290506979,0.009803210759052348,-0.013497069882507812,1.7796356155471685e-4,-0.013846204788859293,-0.013147934976156331,-59,6,1,1271,0.20613690007867821,NA,Canada,2020,Americas
CHE,1,0.008,0,114,1,0.008,0.008,NA,NA,NA,NA,NA,7,1,121,0.9421487603305785,NA,Switzerland,2020,Europe
CHE,2,0.015,0,7,1,0.015,0.015,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,87,7,1,121,0.05785123966942149,NA,Switzerland,2020,Europe
CHN,1,0.1165057915057915,0.02942028655370471,259,3,0.11290591875716208,0.12010566425442093,NA,NA,NA,NA,NA,8,1,601,0.43094841930116473,NA,China,2020,Western Pacific
CHN,2,0.008,0,342,1,0.008,0.008,-0.10850579150579151,0.0018280876571563748,-0.11209601969502098,-0.10491556331656204,-93,8,1,601,0.5690515806988353,NA,China,2020,Western Pacific
DEU,1,0.016,NA,1,1,NA,NA,NA,NA,NA,NA,NA,9,1,836,0.0011961722488038277,NA,Germany,2020,Europe
DEU,2,0.02397125748502994,0.008379439134894204,835,4,0.023402076310664193,0.024540438659395685,0.007971257485029939,NA,NA,NA,50,9,1,836,0.9988038277511961,NA,Germany,2020,Europe
ESP,1,0.02409449404761905,0.021325527148415815,1344,8,0.02295335174333455,0.025235636351903547,NA,NA,NA,NA,NA,12,1,5449,0.24665076160763444,NA,Spain,2020,Europe
ESP,2,0.026704019488428744,0.005216309884442861,4105,3,0.026544401072834917,0.02686363790402257,0.0026095254408096957,5.873712993588446e-4,0.0014580430283246686,0.003761007853294723,11,12,1,5449,0.7533492383923656,NA,Spain,2020,Europe
FIN,1,0.027702247191011234,0.005459257984970209,178,3,0.026894730832181118,0.02850976354984135,NA,NA,NA,NA,NA,13,1,188,0.9468085106382979,NA,Finland,2020,Europe
FIN,2,0.01646,0.0034843140565173564,10,2,0.013967471877099647,0.01895252812290035,-0.011242247191011235,0.0011753636990491662,-0.013560923635667813,-0.008923570746354657,-41,13,1,188,0.05319148936170213,NA,Finland,2020,Europe
FRA,1,0.01507952622673435,0.002033308345039165,591,4,0.014915259570461612,0.015243792883007087,NA,NA,NA,NA,NA,14,1,804,0.7350746268656716,NA,France,2020,Europe
FRA,2,0.014812206572769953,0.0021896931193951374,213,3,0.014516454436257709,0.015107958709282197,-2.6731965396439676e-4,1.717733835136384e-4,-6.044975152318617e-4,6.985820730306817e-5,-2,14,1,804,0.26492537313432835,NA,France,2020,Europe
GBR,1,0.012096385542168674,0.003793501485854941,166,4,0.011515043952790845,0.012677727131546503,NA,NA,NA,NA,NA,15,1,393,0.4223918575063613,NA,United Kingdom,2020,Europe
GBR,2,0.015004405286343612,6.637233115999726e-5,227,2,0.014995724598049855,0.01501308597463737,0.0029080197441749382,2.944657712237018e-4,0.0023290899945023896,0.003486949493847487,24,15,1,393,0.5776081424936387,NA,United Kingdom,2020,Europe
GRC,1,0.004,0,49,1,0.004,0.004,NA,NA,NA,NA,NA,16,1,378,0.12962962962962962,NA,Greece,2020,Europe
GRC,2,0.009170212765957447,0.0026158919135493954,329,2,0.008886502270976718,0.009453923260938177,0.005170212765957447,1.4421878962454703e-4,0.004886638765261752,0.005453786766653142,129,16,1,378,0.8703703703703703,NA,Greece,2020,Europe
HKG,1,0.008,0,25,1,0.008,0.008,NA,NA,NA,NA,NA,17,1,51,0.49019607843137253,NA,Hong Kong,NA,Unclassifed
HKG,2,0.015,0,26,1,0.015,0.015,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,87,17,1,51,0.5098039215686274,NA,Hong Kong,NA,Unclassifed
HUN,1,0.027187214611872144,0.007363225074003083,219,2,0.026206569558028497,0.02816785966571579,NA,NA,NA,NA,NA,19,1,534,0.4101123595505618,NA,Hungary,2020,Europe
HUN,2,0.015,0,315,1,0.015,0.015,-0.012187214611872145,4.975606408072204e-4,-0.01316463503785665,-0.01120979418588764,-45,19,1,534,0.5898876404494382,NA,Hungary,2020,Europe
IND,1,0.021923076923076924,0.007526178090063816,78,2,0.020226185959978805,0.023619967886175042,NA,NA,NA,NA,NA,21,1,284,0.2746478873239437,NA,India,2020,South-East Asia
IND,2,0.016,0,206,1,0.016,0.016,-0.005923076923076923,8.521718606261496e-4,-0.0076004766091911004,-0.004245677236962746,-27,21,1,284,0.7253521126760564,NA,India,2020,South-East Asia
ISL,1,0.0179,0.005506561742341787,10,2,0.013960843029461947,0.02183915697053805,NA,NA,NA,NA,NA,22,1,16,0.625,NA,Iceland,2020,Europe
ISL,2,0.014,0.0021908902300206644,6,1,0.011700801709516404,0.016299198290483596,-0.003899999999999999,0.0019576062480034695,-0.00807253894769197,2.7253894769197276e-4,-22,22,1,16,0.375,NA,Iceland,2020,Europe
ITA,1,0.030609947643979056,0.016576656660353437,1528,5,0.029778130765908552,0.03144176452204956,NA,NA,NA,NA,NA,24,2,2351,0.6499361973628244,NA,Italy,2020,Europe
ITA,2,0.041810449574726606,0.021784792071826663,823,4,0.04031991679981679,0.04330098234963642,0.01120050193074755,8.697565430159441e-4,0.009494931987092873,0.012906071874402228,37,24,2,2351,0.3500638026371757,NA,Italy,2020,Europe
JPN,1,0.015872874027097146,0.011619667700249867,3469,6,0.015486069767703866,0.016259678286490428,NA,NA,NA,NA,NA,25,2,5984,0.5797125668449198,NA,Japan,2020,Western Pacific
